,symbol,sector,industry
56,BA,Industrials,Aerospace & Defense
57,BAC,Financial Services,Banks—Diversified
58,BAX,Healthcare,Medical Instruments & Supplies
60,BBY,Consumer Cyclical,Specialty Retail
61,BDX,Healthcare,Medical Instruments & Supplies
62,BEN,Financial Services,Asset Management
63,BIIB,Healthcare,Drug Manufacturers—General
64,BK,Financial Services,Asset Management
65,BKNG,Consumer Cyclical,Travel Services
66,BKR,Energy,Oil & Gas Equipment & Services
